T_amb,P_pv,P_wind,P_load,Qdot_load
285.36,0.0,0.0,960087.29,0.0
285.3,0.0,0.0,755611.74,2.01
285.37,0.0,0.0,648843.76,299.34
285.03,0.0,581950.0,496396.12,16343.7
284.77,0.0,581950.0,890524.67,328272.13
284.46,0.0,0.0,691731.76,2425621.22
283.92,0.0,0.0,1073243.27,6593522.11
283.95,0.0,0.0,3330898.85,6593522.11
284.03,353700.0,0.0,10756335.53,2425621.22
285.3,1768500.0,0.0,13219847.58,328272.13
286.7,3360150.0,0.0,12732819.86,16343.7
288.01,4385880.0,0.0,12547399.02,4299178.55
288.72,4633470.0,0.0,11153742.52,4411852.53
288.96,2405160.0,0.0,8722309.54,4544731.57
288.56,1591650.0,0.0,8103706.95,4687097.79
287.25,990360.0,0.0,8773304.25,4862265.83
285.28,70740.0,0.0,7502023.11,5195817.48
283.93,0.0,0.0,4897567.78,6144749.45
282.95,0.0,0.0,2761214.61,8353991.09
282.9,0.0,0.0,1677500.19,11407028.8
282.28,0.0,0.0,1182822.77,13004158.31
281.41,0.0,0.0,654705.22,11611203.58
280.56,0.0,581950.0,271226.65,8790472.37
279.86,0.0,581950.0,497210.77,6775075.9
279.32,0.0,0.0,619307.96,5812058.16
278.93,0.0,0.0,675885.95,5860191.79
278.6,0.0,0.0,572823.6,5920269.03
278.25,0.0,581950.0,624652.82,6003126.24
277.89,0.0,581950.0,565909.07,6372197.23
277.69,0.0,0.0,706246.33,8496798.94
277.46,0.0,0.0,944897.16,12670853.63
279.02,0.0,0.0,3558979.19,12664480.04
279.67,353700.0,0.0,10361819.53,8501853.86
281.19,1768500.0,0.0,12778380.29,6407361.89
284.65,3360150.0,0.0,12391931.25,6090378.54
285.82,4385880.0,0.0,12215908.62,6060927.77
286.53,4633470.0,0.0,11050918.6,6043052.97
286.24,2405160.0,0.0,8693032.05,6024943.77
285.52,1591650.0,0.0,7834477.17,6008629.48
284.65,990360.0,0.0,8754408.49,6014567.63
284.04,70740.0,0.0,7936486.45,6178889.37
283.65,0.0,0.0,4959123.04,6955954.09
283.24,0.0,0.0,2979479.49,8991570.25
282.66,0.0,0.0,1809482.39,11874718.71
282.15,0.0,0.0,898939.34,13418222.12
281.64,0.0,0.0,580234.87,11992520.3
281.17,0.0,581950.0,907552.71,9146734.29
280.66,0.0,581950.0,384183.93,7197271.54
280.15,0.0,0.0,960087.29,6296011.73
279.78,0.0,0.0,755611.74,6399529.69
279.53,0.0,0.0,648843.76,6482683.74
279.17,0.0,581950.0,496396.12,6564222.27
278.83,0.0,581950.0,890524.67,6935710.83
278.82,0.0,0.0,691731.76,9110202.39
278.73,0.0,0.0,1073243.27,13386893.92
276.53,0.0,0.0,3330898.85,13517003.15
276.8,353700.0,0.0,10756335.53,9472618.12
278.22,1768500.0,0.0,13219847.58,7499883.77
279.6,3360150.0,0.0,12732819.86,7312130.53
280.82,4385880.0,0.0,12547399.02,7406854.95
281.82,4633470.0,0.0,11153742.52,7510737.77
282.47,2405160.0,0.0,8722309.54,7616803.76
282.54,1591650.0,0.0,8103706.95,7732796.48
281.94,990360.0,0.0,8773304.25,7871481.2
280.53,70740.0,0.0,7502023.11,8157340.78
278.7,0.0,0.0,4897567.78,9036822.56
277.32,0.0,0.0,2761214.61,11159471.24
277.04,0.0,0.0,1677500.19,14108553.43
276.48,0.0,0.0,1182822.77,15559090.28
275.99,0.0,0.0,654705.22,14024597.81
276.13,0.0,581950.0,271226.65,11087823.25
275.92,0.0,581950.0,497210.77,9018361.12
275.33,0.0,6140700.0,682095.13,8005893.08
274.61,0.0,8755450.0,921312.24,8015345.6
274.42,0.0,1483650.0,923269.37,8029708.79
274.56,0.0,4150300.0,786498.66,8059159.67
275.11,0.0,4150300.0,737212.72,8373285.89
275.99,0.0,4150300.0,360529.47,10443602.16
277.0,0.0,8755450.0,441218.92,14547986.88
278.27,0.0,6140700.0,3631820.25,14456998.34
278.88,106110.0,11890150.0,10491010.08,10194372.66
279.39,848880.0,4150300.0,13080990.58,7987573.58
280.01,1839240.0,6140700.0,12716735.61,7554546.87
280.88,2582010.0,4150300.0,12177123.64,7417404.34
281.39,2864970.0,4150300.0,11158322.41,7290738.89
281.83,2652750.0,8755450.0,8780079.7,7151311.63
281.93,1945350.0,8755450.0,7956971.75,6991481.59
281.84,954990.0,8755450.0,9180566.44,6852145.76
281.76,141480.0,6140700.0,7619490.74,6874929.76
281.59,0.0,4150300.0,4937266.75,7524302.83
281.46,0.0,4150300.0,2733804.84,9456842.59
281.35,0.0,6140700.0,1835153.6,12262409.03
281.46,0.0,4150300.0,1242997.11,13664814.26
281.5,0.0,2692450.0,958984.54,12101970.29
281.64,0.0,1483650.0,980453.38,9123217.92
281.67,0.0,2692450.0,891041.27,7004305.49
281.68,0.0,6140700.0,800794.66,5945683.85
281.99,0.0,8755450.0,750713.95,5907224.52
281.96,0.0,1483650.0,739239.39,5876093.44
281.92,0.0,4150300.0,403467.14,5862687.4
281.86,0.0,4150300.0,478126.25,6149341.23
281.81,0.0,4150300.0,918848.44,8227789.32
281.8,0.0,8755450.0,482040.51,12380745.23
282.2,0.0,6140700.0,3635784.19,12366899.14
282.25,106110.0,11890150.0,10615829.38,8182075.27
282.47,848880.0,4150300.0,12519293.82,6076814.13
282.67,1839240.0,6140700.0,12863808.59,5762907.69
283.04,2582010.0,4150300.0,12454996.58,5762247.98
283.14,2864970.0,4150300.0,11404265.29,5793383.92
283.26,2652750.0,8755450.0,8965351.51,5849120.5
283.27,1945350.0,8755450.0,7987967.95,5939179.29
282.99,954990.0,8755450.0,9051057.98,6059182.78
282.62,141480.0,6140700.0,7724917.54,6353833.53
282.27,0.0,4150300.0,4682680.69,7247600.95
282.09,0.0,4150300.0,2786707.0,9389150.63
282.12,0.0,6140700.0,1548895.78,12369001.89
281.82,0.0,4150300.0,1200605.84,13908329.5
281.59,0.0,2692450.0,632501.21,12461968.45
280.94,0.0,1483650.0,761353.99,9586292.48
280.24,0.0,2692450.0,978545.92,7552434.55
279.15,0.0,6140700.0,519951.24,6565021.34
278.0,0.0,2692450.0,617261.42,6573594.73
277.7,0.0,4150300.0,453895.57,6576529.41
276.91,0.0,4150300.0,790383.12,6597848.47
277.49,0.0,1483650.0,733824.99,6916370.27
278.12,0.0,4150300.0,628249.17,9036136.83
278.67,0.0,8755450.0,766420.67,13234147.45
279.9,0.0,6140700.0,1007594.92,13283158.19
280.32,176850.0,1483650.0,789777.1,9168443.85
280.86,1733130.0,0.0,1143839.09,7140325.17
281.46,2631130.0,0.0,1177497.78,6910813.9
281.96,0.0,0.0,1580647.02,6978065.93
282.75,7109370.0,6434150.0,1600625.65,7056014.82
283.14,0.0,7442050.0,1279536.86,7116146.98
283.03,0.0,0.0,746084.39,7156975.25
282.69,3360150.0,0.0,1014380.3,7228187.79
281.6,601290.0,4150300.0,1332746.99,7445256.51
280.9,0.0,8272300.0,808195.99,8291551.65
279.86,0.0,4150300.0,784322.96,10407387.17
279.7,0.0,4150300.0,890941.93,13387238.44
278.67,0.0,1483650.0,951324.9,14965247.17
277.84,0.0,2692450.0,656861.04,13575808.9
277.15,0.0,1483650.0,862330.05,10737055.82
276.68,0.0,581950.0,393363.58,8710670.38
276.42,0.0,6140700.0,878076.52,7712268.21
276.25,0.0,2692450.0,801430.48,7717105.36
275.66,0.0,4150300.0,955139.82,7714765.34
275.43,0.0,4150300.0,260050.13,7722238.32
275.28,0.0,1483650.0,519494.25,8035924.98
275.6,0.0,4150300.0,739467.89,10142504.8
275.54,0.0,8755450.0,1013426.57,14326889.11
275.84,0.0,6140700.0,1047601.87,14337658.29
275.8,176850.0,1483650.0,1028030.55,10193933.11
277.57,1733130.0,0.0,1248957.92,8106913.63
279.91,2631130.0,0.0,1608722.42,7796523.66
281.38,0.0,0.0,1631611.91,7774765.15
282.53,7109370.0,6434150.0,1479482.19,7768758.43
283.26,0.0,7442050.0,1050751.16,7774165.59
283.42,0.0,0.0,1244785.36,7789939.05
282.61,3360150.0,0.0,913801.62,7823789.13
281.18,601290.0,4150300.0,919553.8,8010967.9
280.15,0.0,8272300.0,1037836.08,8793307.32
279.37,0.0,4150300.0,744196.8,10831780.61
278.6,0.0,4150300.0,587060.0,13692951.16
278.2,0.0,1483650.0,950361.24,15098433.3
277.77,0.0,2692450.0,973767.34,13514490.54
277.41,0.0,1483650.0,682840.23,10538155.74
276.94,0.0,581950.0,851093.93,8458363.98
276.18,0.0,0.0,800794.66,7455126.67
275.64,0.0,0.0,750713.95,7480403.28
275.32,0.0,0.0,739239.39,7523117.97
275.31,0.0,581950.0,403467.14,7577843.45
275.98,0.0,581950.0,478126.25,7916145.38
276.6,0.0,0.0,918848.44,10022725.19
277.81,0.0,0.0,482040.51,14194801.88
279.63,0.0,0.0,3635784.19,14189966.74
280.13,353700.0,0.0,10615829.38,10014813.14
280.54,1768500.0,0.0,12519293.82,7898782.83
280.79,3360150.0,0.0,12863808.59,7555645.77
281.02,4385880.0,0.0,12454996.58,7495865.48
281.38,4633470.0,0.0,11404265.29,7430957.96
281.33,2405160.0,0.0,8965351.51,7351310.61
281.66,1591650.0,0.0,7987967.95,7260930.76
281.41,990360.0,0.0,9051057.98,7191924.24
280.76,70740.0,0.0,7724917.54,7289433.13
279.96,0.0,0.0,4682680.69,8031552.98
279.59,0.0,0.0,2786707.0,10060136.2
278.93,0.0,0.0,1548895.78,12972295.51
279.05,0.0,0.0,1200605.84,14506568.2
279.19,0.0,0.0,632501.21,13070316.99
279.4,0.0,581950.0,761353.99,10211564.0
279.88,0.0,581950.0,978545.92,8204958.69
279.81,0.0,0.0,499306.98,7242820.07
279.86,0.0,0.0,585271.75,7292272.37
279.66,0.0,0.0,487663.54,7348393.59
279.27,0.0,581950.0,377090.57,7427954.11
278.51,0.0,581950.0,447696.33,7821640.36
278.05,0.0,0.0,699540.42,9996351.7
277.76,0.0,0.0,771189.32,14226669.84
277.56,0.0,0.0,3604440.28,14286449.76
277.74,353700.0,0.0,10152426.32,10177010.12
278.16,1768500.0,0.0,12958565.54,8142737.62
278.34,3360150.0,0.0,12801547.96,7901138.5
278.79,4385880.0,0.0,12261737.29,7967071.86
279.13,4633470.0,0.0,11359132.05,8055570.14
278.79,2405160.0,0.0,8968629.95,8135702.2
278.77,1591650.0,0.0,8115966.34,8221145.63
277.69,990360.0,0.0,9111709.19,8330160.17
277.24,70740.0,0.0,7857883.27,8587228.69
277.12,0.0,0.0,5412949.07,9449347.92
276.87,0.0,0.0,2700265.36,11569139.47
276.27,0.0,0.0,1324411.8,14534265.53
276.18,0.0,0.0,1125062.55,16057769.05
275.99,0.0,0.0,1057794.84,14600638.82
275.67,0.0,581950.0,866115.17,11719468.37
275.84,0.0,581950.0,625080.01,9685610.45
276.17,0.0,6140700.0,800794.66,8701493.92
276.08,0.0,8755450.0,750713.95,8717320.02
275.9,0.0,1483650.0,739239.39,8723771.17
275.97,0.0,4150300.0,403467.14,8740474.87
275.58,0.0,4150300.0,478126.25,9032623.18
275.35,0.0,4150300.0,918848.44,11109532.81
275.3,0.0,8755450.0,482040.51,15261170.04
275.98,0.0,6140700.0,3635784.19,15237653.68
276.3,106110.0,11890150.0,10615829.38,11032829.91
276.8,848880.0,4150300.0,12519293.82,8893942.57
277.13,1839240.0,6140700.0,12863808.59,8530805.61
277.56,2582010.0,4150300.0,12454996.58,8444432.05
278.41,2864970.0,4150300.0,11404265.29,8367216.9
278.51,2652750.0,8755450.0,8965351.51,8286470.66
278.74,1945350.0,8755450.0,7987967.95,8199607.28
278.59,954990.0,8755450.0,9051057.98,8126864.51
278.17,141480.0,6140700.0,7724917.54,8210527.32
277.86,0.0,4150300.0,4682680.69,8894625.49
277.94,0.0,4150300.0,2786707.0,10831341.05
277.95,0.0,6140700.0,1548895.78,13615369.14
278.07,0.0,4150300.0,1200605.84,14985686.62
278.32,0.0,2692450.0,632501.21,13376249.49
278.87,0.0,1483650.0,761353.99,10345849.03
279.34,0.0,2692450.0,978545.92,8170013.81
279.85,0.0,6140700.0,800794.66,7058645.18
280.14,0.0,8755450.0,750713.95,6974911.36
280.41,0.0,1483650.0,739239.39,6898066.23
280.56,0.0,4150300.0,403467.14,6846418.63
280.75,0.0,4150300.0,478126.25,7092413.33
280.98,0.0,4150300.0,918848.44,9125367.15
281.08,0.0,8755450.0,482040.51,13235026.57
281.37,0.0,6140700.0,3635784.19,13191949.87
281.79,106110.0,11890150.0,10615829.38,8988444.77
